lat,lon,elevation,slope,aspect,01-07-2015,02-07-2015,03-07-2015,04-07-2015,05-07-2015,06-07-2015,07-07-2015,08-07-2015,09-07-2015,10-07-2015,11-07-2015,12-07-2015,13-07-2015,14-07-2015,15-07-2015
27.33,88.62,1569,22.47974777,93.08187866,68.3,2.3,23.3,8.6,3.4,37.6,33.7,23,8.7,49,56.2,6.1,2,11.4,52
27.33,88.63,1356,23.88544464,194.742569,72,1,27.5,10,2.4,33.6,46.2,19.2,8.9,47.6,46.8,0.7,0.2,3,63.5
27.33,93.03,522,25.91267395,308.1825562,0,0,3.4,0,6.4,5.2,0,0,0,0,5.2,0,3.2,0,3.2
27.33,94.83,100,1.122169256,106.4953156,24.4,8.4,0,29,19.3,3.6,0,0,0,19.4,0,1.1,0,12.5,53.6
27.42,94.3,98,1.195423365,36.90814972,3,13.2,32.8,34.6,131.6,0,0,8.6,0,11.8,0,10.6,7.6,21.8,82
27.45,96.33,832,16.42856216,299.3686218,3.2,1.8,0,7.8,12.6,8.6,0,0,4,0.6,2,2.4,1.4,3.4,26
27.48,95.02,117,1.668643475,139.7893982,54.4,15.4,4.2,36.4,22.6,0,0,0,0,3.2,8.6,21.4,4,3.9,31.8
27.5,88.67,3296,29.40709877,313.6886292,98,2.5,15,2,1,3,2.2,10,20,17,42,0,0,1,48
27.55,88.62,1546,20.58738518,225.8996277,8,10.4,6.2,9,13.4,3,6,15.8,5.2,2,0.2,0,2,0,0.2
27.6,88.65,1543,27.11416817,252.9458771,46.3,0,28.3,13.4,6.4,3.4,7,13,18.4,18.3,35,11,8,18,4.1
27.72,95.83,140,0.731929183,209.4588318,6.8,3.6,5.6,17,12.7,0.2,0,0,0,16,0,36.2,20,5.8,25.8
27.75,95.62,128,0.360074967,270,43.6,0.7,0,24.3,19.3,0,0,0,0,20,0,4.5,16.4,5,46.6
27.75,96.87,3715,20.74475479,310.2482605,4.2,15.2,18,0,0,0,0,0,0,0,0,5,8.2,20,0
27.83,95.78,134,0.787948966,246.1465149,27.2,3.3,2.1,45.3,21.6,0,0,0,0,6.3,0,6.2,0,0,27.2
27.92,96.17,229,0.721248984,90,37.8,19.3,0,14.5,22,0,0,0,0,9,0,25.2,10.2,3.2,21.2
28.1,95.38,182,1.926128507,131.4163666,61,8,3.4,131.3,92.2,0.7,0,0,0,6,2.1,0,8.8,43.7,141.6
28.12,95.83,314,1.914990067,250.5679779,123.4,21,0,63.2,71.4,0.8,0,0,0,16.8,0,42.4,0,9.7,115.2
28.22,95.17,1583,39.59797287,24.81410217,5,0.8,0,0,12.4,6,0,0.4,0,11.4,2.8,23,64,22,9
28.3,94.05,655,45.66381454,359.2927246,59,57.2,22.8,41,4.2,0,0,25.6,0,0,0,0,1.6,66.2,29.8
25.25,92.75,1210,4.1979012,102.74111,,,,,,,,,,,,,,,
25.25,93,313,19.86152,97.72605,,,,,,,,,,,,,,,
25.25,93.25,669,18.168678,350.58344,,,,,,,,,,,,,,,
25.5,90,90,14.099698,121.03631,,,,,,,,,,,,,,,
25.5,90.25,1209,11.556498,315.43805,,,,,,,,,,,,,,,
25.5,91.75,1724,27.602945,326.7131,,,,,,,,,,,,,,,
25.5,92.25,1295,8.0403385,297.28302,,,,,,,,,,,,,,,
